Company Name,Project Name,Click Rate @ 1:00 PM,Opt-out Rate,Yesterday's Click Rate @ 1:00 PM,Opt-out Rate Yesterday,Click Rate @ 1:00 PM 7 Days Ago,Opt-out Rate 7 Days Ago,
AdaptHealth,Patient Financial Services 30-60 Days (Drive to Site),19.33%,3.54%,15.54%,3.24%,19.33%,3.36%,13.16%
American Home Shield,After Hours,5.98%,20.19%,6.28%,19.51%,5.98%,21.47%,6.90%
American Home Shield,AHS - Live - CNAME,,,,,,_
American Home Shield,AHS Re-engaged - CNAME,0.12%,22.04%,0.22%,19.00%,0.12%,21.40%,0.00%
American Home Shield,Friends + Family Follow Up (D2S),,,,,,_
Centene Corporation,WellCare - D2C/D2S Hybrid,29.38%,4.34%,29.37%,4.34%,29.38%,4.35%,0.00%
Core Digital Media,Remonetize - ATT,0.00%,30.66%,2.48%,29.70%,0.00%,30.56%,0.00%
Core Digital Media,Remonetize Lead,11.02%,20.92%,8.83%,16.98%,11.02%,11.86%,2.83%
EverQuote,Auto - Drive to Site,6.50%,22.30%,6.29%,18.86%,6.50%,20.20%,4.32%
EverQuote,Health Insurance,7.24%,25.77%,6.65%,24.79%,7.24%,28.28%,5.74%
EverQuote,Home - Drive to Site,10.25%,22.23%,10.00%,20.33%,10.25%,21.73%,8.54%
EverQuote,Life Insurance,8.68%,14.63%,6.13%,14.26%,8.68%,17.64%,3.35%
Fluent,D2S - AARP - Membership Driver - SMS,,,,,,_
Fluent,D2S - Adduco - SSDI - D2S - SMS - Drips,8.72%,19.65%,7.56%,19.02%,8.72%,19.30%,6.02%
Fluent,D2S - Aetna - Medicare Supplement - D2S - SMS - Drips,,,,,,_
Fluent,D2S - Auto Insurance - D2S - SMS - Drips,5.46%,19.25%,4.81%,19.52%,5.46%,17.33%,4.51%
Fluent,D2S - Class Action Lawsuit - D2S,6.82%,9.22%,6.79%,7.94%,6.82%,5.70%,5.88%
Fluent,D2S - Data Prosper (Inbound.io) - MVA - SMS,7.62%,12.04%,7.63%,12.01%,7.62%,12.51%,6.98%
Fluent,D2S - EPCVIP - Personal Loans - SMS - DR,7.79%,16.62%,5.97%,17.06%,7.79%,22.06%,4.04%
Fluent,D2S - Geico - Auto Insurance - SMS,4.13%,25.32%,4.74%,25.17%,4.13%,27.27%,3.32%
Fluent,D2S - Get Trucker Jobs - D2S - SMS - Drips,5.45%,18.41%,4.83%,17.64%,5.45%,17.47%,3.92%
Fluent,D2S - LexLaw - Credit Repair - D2S - SMS - Drips,3.78%,16.68%,3.31%,16.26%,3.78%,17.32%,2.43%
Fluent,D2S - Main - Medicare Supplement - D2S - SMS - Drips,,,,,,_
Fluent,D2S - New Lotus - Psychic Zodiac - SMS,,,,,,_
Fluent,D2S - Nift - Gift Card - D2S,,,,,,_
Fluent,D2S - Olive - Auto Warranty - SMS,,,,,,_
Fluent,D2S - Penrose - FirstLeaf Wine - SMS,,0.00%,0.00%,0.00%,_,0.00%
Fluent,D2S - Pentius - Credit Repair - D2S - SMS - Drips,,,,,,_
Fluent,D2S - Playtika - Casino Games - App,0.00%,18.67%,4.74%,22.79%,0.00%,22.49%,7.73%
Fluent,D2S - Policy Savings - Medicare - SMS,2.25%,13.59%,2.20%,12.52%,2.25%,12.19%,1.86%
Fluent,D2S - Zebit - Product Financing - SMS,4.68%,16.39%,4.66%,17.25%,4.68%,16.89%,3.90%
Fluent - Website Reengagement,Claimed Users - Flash App,,0.00%,50.00%,0.00%,_,100.00%
Fluent - Website Reengagement,Clickers RT - ATT - Longcode,17.60%,13.23%,16.01%,12.18%,17.60%,12.62%,13.78%
Fluent - Website Reengagement,Clickers RT - Other Carriers,29.62%,18.77%,28.06%,16.73%,29.62%,16.90%,22.13%
Fluent - Website Reengagement,Clickers RT - Verizon,28.91%,20.67%,26.74%,18.52%,28.91%,19.54%,21.40%
Fluent - Website Reengagement,Converters Day 1 - ATT - Longcode,28.01%,14.33%,26.34%,13.82%,28.01%,14.10%,23.71%
Fluent - Website Reengagement,Converters Day 1 - Other Carriers,47.45%,19.37%,49.58%,18.02%,47.45%,20.38%,47.84%
Fluent - Website Reengagement,Converters Day 1 - Verizon,48.63%,17.20%,46.98%,15.58%,48.63%,17.67%,43.67%
Fluent - Website Reengagement,Flow Converters RT - Primer -On Hours - Real Time Leads - ATT,18.12%,9.46%,18.67%,9.69%,18.12%,9.98%,13.33%
Fluent - Website Reengagement,Flow Converters RT - Primer -On Hours - Real Time Leads - Other Carriers,23.24%,11.24%,22.83%,11.52%,23.24%,12.43%,17.44%
Fluent - Website Reengagement,Flow Converters RT - Primer -On Hours - Real Time Leads - Verizon,22.87%,12.39%,23.12%,10.58%,22.87%,9.85%,19.04%
Fluent - Website Reengagement,Jobs - Resubscribes,16.57%,24.86%,17.50%,22.87%,16.57%,23.25%,14.38%
Fluent - Website Reengagement,Jobs SMS - OUTSIDE,23.64%,15.81%,20.85%,14.51%,23.64%,15.04%,14.27%
Fluent - Website Reengagement,Join,19.49%,13.86%,18.52%,12.42%,19.49%,12.52%,17.41%
Fluent - Website Reengagement,Join - SV,21.43%,12.49%,22.02%,10.08%,21.43%,11.11%,16.67%
Fluent - Website Reengagement,Join - Sweeps,23.21%,10.24%,21.12%,8.62%,23.21%,7.14%,14.82%
Fluent - Website Reengagement,Reengagement Aged - Other Carriers,5.68%,5.54%,5.03%,4.49%,5.68%,4.57%,3.33%
Fluent - Website Reengagement,Re-subscribes,13.69%,17.54%,12.86%,15.53%,13.69%,16.12%,10.81%
Fluent - Website Reengagement,Reward Reg Day 1 - On Hours - ATT,15.42%,17.01%,14.61%,16.57%,15.42%,17.70%,11.13%
Fluent - Website Reengagement,Reward Reg Day 1 - On Hours - Other Carriers,21.07%,20.19%,18.27%,18.71%,21.07%,20.76%,16.61%
Fluent - Website Reengagement,Reward Reg Day 1 - On Hours - Verizon,17.98%,19.98%,16.09%,18.67%,17.98%,21.13%,11.43%
Fluent - Website Reengagement,Samples SMS,4.46%,9.14%,4.94%,8.66%,4.46%,8.25%,4.00%
Fluent - Website Reengagement,Survey Voices On Hours,15.87%,10.00%,13.65%,10.06%,15.87%,11.25%,10.31%
Fluent - Website Reengagement,Survey Voices On Hours - Verizon,20.63%,14.71%,19.42%,13.41%,20.63%,15.63%,12.09%
Fluent - Website Reengagement,SV - Resubscribes,19.30%,20.84%,18.69%,19.94%,19.30%,21.49%,14.29%
Fluent - Website Reengagement,Sweeps - Resubscribes,21.53%,18.87%,16.94%,16.47%,21.53%,17.36%,12.58%
Fluent - Website Reengagement,Sweeps Confirmation,12.32%,8.99%,12.76%,7.28%,12.32%,7.13%,10.17%
Fluent - Website Reengagement,Sweeps SMS,12.95%,10.29%,11.10%,8.11%,12.95%,7.47%,6.76%
Fluent - Website Reengagement,UK Welcome Series,19.76%,3.75%,19.98%,3.54%,19.76%,3.23%,17.65%
Fluent - Website Reengagement,Viewers Day 1 - On Hours - ATT,11.84%,16.43%,10.45%,15.84%,11.84%,16.91%,8.13%
Fluent - Website Reengagement,Viewers Day 1 - On Hours - Other Carriers,11.62%,23.02%,12.49%,23.33%,11.62%,25.38%,9.40%
Fluent - Website Reengagement,Viewers Day 1 - On Hours - Verizon,16.11%,19.48%,14.40%,18.14%,16.11%,19.09%,10.59%
Gainsco Insurance,Bill Reminder,1.29%,3.84%,1.12%,3.36%,1.29%,3.88%,0.86%
Gainsco Insurance,Welcome Campaign,0.00%,9.23%,2.60%,9.09%,0.00%,21.43%,0.00%
InfoCision Management Corporation,Cox - Drive to App,,,,,,_
Liberty Mutual,(AP) Compare.com Auto Dual CTA,,,,,,_
