Company Name,Project Name,Project Link,Daily Leads Link,1 Through 7 Day Clicked Rate,1 Through 7 Day Opt Out Rate,1 Through 3 Day Clicked Rate,1 Through 3 Day Opt Out Rate,2 Day Only Clicked Rate,2 Day Only Opt Out Rate,1 Day Only Clicked Rate,1 Day Only Opt Out Rate,Period Start UTC,Period End UTC
AdaptHealth,Patient Financial Services 30-60 Days (Drive to Site),https://manage.drips.com/Project/Dash/1FCFDEA8-0F87-414E-847A-83C7AEF5535E,https://manage.drips.com/Company/Portal/504A02AC-0C45-4535-BF43-E6C2986AB4A1?project=1FCFDEA8-0F87-414E-847A-83C7AEF5535E&reportName=dailyleads,10.935%,8.762%,10.756%,7.849%,14.120%,7.176%,9.395%,7.724%,10/20/2021,10/27/2021
American Home Shield Corp,After Hours,https://manage.drips.com/Project/Dash/12D2F1AF-D953-49E3-9A14-E589AF41C735,https://manage.drips.com/Company/Portal/2DB1E347-5685-472E-833C-A8262DDA56B6?project=12D2F1AF-D953-49E3-9A14-E589AF41C735&reportName=dailyleads,0.746%,25.793%,0.833%,23.796%,0.941%,21.882%,0.926%,18.519%,10/20/2021,10/27/2021
American Home Shield Corp,After Hours - ATT,https://manage.drips.com/Project/Dash/BABD4F76-D14B-4C03-8166-45B49A37EB15,https://manage.drips.com/Company/Portal/2DB1E347-5685-472E-833C-A8262DDA56B6?project=BABD4F76-D14B-4C03-8166-45B49A37EB15&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
American Home Shield Corp,AHS - Live,https://manage.drips.com/Project/Dash/C8E8FAE3-8630-4277-9176-4F6DC5C5FB15,https://manage.drips.com/Company/Portal/2DB1E347-5685-472E-833C-A8262DDA56B6?project=C8E8FAE3-8630-4277-9176-4F6DC5C5FB15&reportName=dailyleads,0.337%,22.503%,0.548%,19.846%,0.610%,22.256%,0.000%,16.910%,10/20/2021,10/27/2021
American Home Shield Corp,AHS - Re-engaged,https://manage.drips.com/Project/Dash/3C36C6FE-388E-4080-83BF-29AE0582D048,https://manage.drips.com/Company/Portal/2DB1E347-5685-472E-833C-A8262DDA56B6?project=3C36C6FE-388E-4080-83BF-29AE0582D048&reportName=dailyleads,0.384%,20.251%,0.385%,15.923%,0.652%,17.826%,0.190%,12.357%,10/20/2021,10/27/2021
American Home Shield Corp,AHS - Re-engaged - ATT,https://manage.drips.com/Project/Dash/A8C2EAAC-AB08-49BD-A85F-532EDF8618B7,https://manage.drips.com/Company/Portal/2DB1E347-5685-472E-833C-A8262DDA56B6?project=A8C2EAAC-AB08-49BD-A85F-532EDF8618B7&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
American Home Shield Corp,Z - Friends + Family Follow Up (D2S),https://manage.drips.com/Project/Dash/095A0795-6F6B-4EE8-AC68-5B3B94ACB144,https://manage.drips.com/Company/Portal/2DB1E347-5685-472E-833C-A8262DDA56B6?project=095A0795-6F6B-4EE8-AC68-5B3B94ACB144&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Centene Corporation,WellCare - D2C/D2S Hybrid,https://manage.drips.com/Project/Dash/A280BBDD-AF48-4EA2-944E-E0A2176114DF,https://manage.drips.com/Company/Portal/830AC53A-A718-443C-89A2-12E82D69E02E?project=A280BBDD-AF48-4EA2-944E-E0A2176114DF&reportName=dailyleads,18.074%,3.600%,18.074%,3.600%,18.074%,3.600%,,,10/20/2021,10/27/2021
Core Digital Media,Remonetize - ATT,https://manage.drips.com/Project/Dash/3A54CC88-6487-409D-A6F1-AEC137821B68,https://manage.drips.com/Company/Portal/F566520C-236D-4EBC-84FB-CD1D4B8263EA?project=3A54CC88-6487-409D-A6F1-AEC137821B68&reportName=dailyleads,10.811%,43.243%,6.818%,22.727%,5.556%,27.778%,12.500%,0.000%,10/20/2021,10/27/2021
Core Digital Media,Remonetize Lead,https://manage.drips.com/Project/Dash/69627FBA-D031-425A-86CA-1C7151421C51,https://manage.drips.com/Company/Portal/F566520C-236D-4EBC-84FB-CD1D4B8263EA?project=69627FBA-D031-425A-86CA-1C7151421C51&reportName=dailyleads,13.187%,18.315%,6.452%,12.258%,7.692%,14.615%,0.000%,0.000%,10/20/2021,10/27/2021
